Book Name,Subject,Edition ,Section ,Copies,Id,Author
Electrical Power System,Power System Analysis,6th,,2,523,C. L. Wadhwa
Electrical Power System,Power System Analysis,2nd,,1,642,C. L. Wadhwa
Modern Power System Analysis,Power System Analysis,3rd,,1,643,Nagrath and Kothari
Modern Power System Analysis,Power System Analysis,2rd,,1,644,Nagrath and Kothari
Modern Power System Analysis,Power System Analysis,1st,,1,645,Nagrath and Kothari
Modern Power System Analysis,Power System Analysis,4th,,1,646,Nagrath and Kothari
Power System Analysis,Power System Analysis,2nd,,2,647,Charles A. Gross
Modern Power System Analysis,Power System Analysis,3rd,,2,648,Turan Gonen
Power System Analysis,Power System Analysis,2nd,,1,649,R. Bergen
Elements of Power System Analysis,Power System Analysis,1st,,1,650,William D. Stevenson Jr
Elements of Power System Analysis,Power System Analysis,3d,,1,651,William D. Stevenson Jr
Elements of Power System Analysis,Power System Analysis,-,,1,652,William D. Stevenson Jr
Power System Analysis and Design,Power System Analysis,-,,1,653,J Duncan Glover and Sarma
Power System Analysis,Power System Analysis,1st,,1,654,Granger and Stevenson
Power System Analysis,Power System Analysis,2nd,,2,655,N. V. Ramana
Advanced power system analysis and dynamics,Power System Analysis,3rd,,2,656,L. P. Singh
Advanced power system analysis and dynamics,Power System Analysis,,,2,657,L. P. Singh
Advanced power system analysis and dynamics,Power System Analysis,,,1,658,L. P. Singh
Power System Engineering,Power System Analysis,,,1,659,Nagrath and Kothari
Symmetrical Components for Power System Engineering,Power System Analysis,,,1,660,J Lewis Blackburn
Electrical Energy Systems Theory,Power System Analysis,,,,661,Olle Elgerd
Electrical Power Generation Transmission and Distribution,Power System Analysis,,,,4353,S. N. Singh
,,,,,,
,,,,,,
Computer Techniques in Power System Analysis,CAPSA,1st,,1,662,M. A. Pai
Computer Techniques in Power System Analysis,CAPSA,2nd,,1,663,M. A. Pai
Computer Techniques in Power System Analysis,CAPSA,3rd,,1,664,M. A. Pai
Computer Techniques in Power System Analysis,CAPSA,3rd,,1,665,Pai and Chatterjee
Computer Aided Power System Operation and Analysis,CAPSA,,,1,666,N. A. Dhar
Computer Aided Power System Analsis and Control,CAPSA,,,1,667,"A. k. Mahalanabis, D. P. Kothari, S I Ahson"
Computer Aided Power System Analsis,CAPSA,,,2,668,George L Kusic
Computer Methods in Power System Analysis,CAPSA,,,1,669,"Glenn W. Stagg, Ahmed H. El-Abiad"
,,,,,,
Power System Dynamics and Stability,Dynamics and Transients,,,1,671,"P.W. Sauer, M. A. Pai"
Power System Stability and Control,Dynamics and Transients,,,2,672,Prabha Kundur
Power System Stability,Dynamics and Transients,,,1,673,"L. Z. Racz, B. Bokay"
Power System Stability Vol.3,Dynamics and Transients,,,1,674,Kimbark
Power Sytem Dynamics Stability and Control,Dynamics and Transients,,,3,675,K. R. Padiyar
Power System Stability Vol.2,Dynamics and Transients,,,1,676,Kimbark
Operation Control in Power System,Dynamics and Transients,,,1,677,P. S. R. Murty
Automatic Power System Control,Dynamics and Transients,,,1,678,V. A. Venikov
Transient Processes in Electrical Power System,Dynamics and Transients,,,2,679,V. A. Venikov
Power System Electromagnetic Transient Simulation,Dynamics and Transients,,,1,680,"Watson, Arrillaga"
Automation in Electrical Power System,Dynamics and Transients,,,1,681,A. Barzam
Electrical Transient in Power System,Dynamics and Transients,,,1,682,Allen Greenwood
Power System Optimization,Dynamics and Transients,,,1,683,Kothari and Dhillon
Optimization of Power System Operation,Dynamics and Transients,,,1,684,Gizhong Zhu
Modern Optimization Techniques in Power System,Dynamics and Transients,,,1,685,Yong-Huasong
Power System Voltage Stability,Dynamics and Transients,,,1,686,Carson W. Taylor
Computer Modeling of Electrical Power System,Dynamics and Transients,,,2,687,"Arrillaga, Watson"
Voltage Stability of Electric Power System (Photocopy),Dynamics and Transients,,,1,688,Cutsen Vournas
Transients in Linear Systems,Dynamics and Transients,,,,689,Gardner and Barnes
,,,,,,
,,,,,,
Swithgear Protection and Power Sytem,Protection ,,,1,690,Sunil S. Rao
Power System Protection and Switchgear,Protection ,,1st,1,691,"Badriram, Vishwakarma"
Power System Protection and Switchgear,Protection ,,2nd,1,692,"Badriram, Vishwakarma"
Protective Relays,Protection ,,,1,693,Warrington
Power System Protection and Switchgear,Protection ,,,1,694,"B Ravindranath, M. Chander"
Power System Protection and Communication,Protection ,,,1,695,"Kalam, Kothari"
The Art and Science Of Protective Relay,Protection ,,,1,696,Crussell Mason
Power System Protection and Switchgear,Protection ,,,1,697,"Oza, Nair, Mehta, Makwana"
Power System Protection and Switchgear (Photocopy),Protection ,,,1,698,"Oza, Nair, Mehta, Makwana"
Power System Protection,Protection ,,,1,699,"Bate, Oza, Nair"
,,,,,,
Economics of Power Systems,Power system economics,,,1,701,Kirchmayer
Power System Economics,Power system economics,,,1,702,Wangensteen
Power System Economics (Photocopy),Power system economics,,,1,703,Stevenstoft
Restructured Electrical Power System (Photocopy),Power system economics,,,1,704,Mohd. Shahidehpour
Power System Structuring and Deregulation (Photocopy),Power system economics,,,1,705,"Loi, Lei, Lai"
Operation of Restructured Power System (Photocopy),Power system economics,,,1,706,"Bhattacharya, Bollen, Daalder"
Power System Planning,Power system economics,,,1,707,Robert L. Sullivan
Intermediate Microeconomics,Power system economics,,,,708,
,,,,,709,
HVDC power transmission system,HVDC,,1st,2,710,K. R. Padiyar
HVDC power transmission system,HVDC,,2rd,2,711,K. R. Padiyar
